Estimated crime in Alabama,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,National or state crime,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
2000,4447100,21620,329,1482,,5702,14107,180539,40331,127399,12809,486.2,7.4,33.3,,128.2,317.2,4059.7,906.9,2864.8,288
2001,4468912,19582,379,1369,,5584,12250,173253,40642,119992,12619,438.2,8.5,30.6,,125,274.1,3876.8,909.4,2685,282.4
2002,4478896,19931,303,1664,,5962,12002,180400,42578,123932,13890,445,6.8,37.2,,133.1,268,4027.8,950.6,2767,310.1
2003,4503726,19331,299,1656,,6038,11338,182241,43245,124039,14957,429.2,6.6,36.8,,134.1,251.7,4046.4,960.2,2754.1,332.1
2004,4525375,19324,254,1742,,6042,11286,182340,44666,123650,14024,427,5.6,38.5,,133.5,249.4,4029.3,987,2732.4,309.9
2005,4548327,19678,374,1564,,6447,11293,177393,43473,120780,13140,433,8.2,34.4,,141.7,248.3,3900,955.8,2656,289
2006,4599030,19553,382,1646,,7062,10463,181249,44780,121451,15018,425.2,8.3,35.8,,153.6,227.5,3941,973.7,2640.8,326.5
2007,4627851,20775,412,1548,,7398,11417,184082,45379,124465,14238,448.9,8.9,33.4,,159.9,246.7,3977.7,980.6,2689.5,307.7
2008,4661900,21110,351,1618,,7346,11795,190416,50411,126539,13466,452.8,7.5,34.7,,157.6,253,4084.5,1081.3,2714.3,288.9
2009,4708708,21194,322,1504,,6265,13103,178007,48844,118072,11091,450.1,6.8,31.9,,133.1,278.3,3780.4,1037.3,2507.5,235.5
2010,4785401,18363,275,1355,,4864,11869,168828,42484,115564,10780,383.7,5.7,28.3,,101.6,248,3528,887.8,2414.9,225.3
2011,4803689,20166,299,1370,,4906,13591,173192,51119,111411,10662,419.8,6.2,28.5,,102.1,282.9,3605.4,1064.2,2319.3,222
2012,4817528,21693,342,1296,,5020,15035,168878,47481,111523,9874,450.3,7.1,26.9,,104.2,312.1,3505.5,985.6,2314.9,205
2013,4833996,20834,346,1449,2055,4645,13788,161835,42410,108862,10563,431,7.2,30,42.5,96.1,285.2,3347.9,877.3,2252,218.5
2014,4849377,20727,276,1436,2005,4701,13745,154094,39715,104238,10141,427.4,5.7,29.6,41.3,96.9,283.4,3177.6,819,2149.5,209.1
,,,,,,,,,,,,,,,,,,,,,
Estimated crime in Alaska,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,National or state crime,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,
Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
2000,626932,3554,27,497,,490,2540,23087,3899,16838,2350,566.9,4.3,79.3,,78.2,405.1,3682.5,621.9,2685.8,374.8
2001,633630,3735,39,501,,514,2681,23160,3847,16695,2618,589.5,6.2,79.1,,81.1,423.1,3655.1,607.1,2634.8,413.2
2002,641482,3627,33,511,,489,2594,24118,3908,17739,2471,565.4,5.1,79.7,,76.2,404.4,3759.7,609.2,2765.3,385.2
2003,648280,3877,39,605,,446,2787,24386,3874,18051,2461,598,6,93.3,,68.8,429.9,3761.6,597.6,2784.4,379.6
2004,657755,4159,37,558,,447,3117,22172,3773,16159,2240,632.3,5.6,84.8,,68,473.9,3370.9,573.6,2456.7,340.6
