State,Year,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg UI
Alabama,2010,11.1,11.1,11.0,11.0,10.7,10.3,9.7,9.2,8.9,8.9,9.0,9.1,10.0
Alaska,2010,8.5,8.5,8.5,8.4,8.2,7.9,7.7,7.7,7.8,7.9,8.0,8.1,8.1
Arizona,2010,9.2,9.5,9.6,9.5,9.6,9.6,9.6,9.7,9.7,9.5,9.4,9.4,9.5
Arkansas,2010,7.6,7.7,7.8,7.8,7.7,7.5,7.4,7.5,7.7,7.8,7.9,7.9,7.7
California,2010,12.5,12.5,12.6,12.5,12.4,12.3,12.3,12.4,12.4,12.4,12.4,12.5,12.4
Colorado,2010,7.4,7.7,7.9,8.0,8.0,8.0,8.0,8.2,8.2,8.4,8.6,8.8,8.1
Connecticut,2010,9.0,9.1,9.2,9.0,8.9,8.8,8.9,9.1,9.1,9.1,9.0,9.0,9.0
Delaware,2010,8.9,9.2,9.2,9.0,8.8,8.5,8.4,8.4,8.4,8.3,8.4,8.5,8.7
DC,2010,12.0,11.9,11.5,11.0,10.4,10.0,9.9,9.9,9.8,9.7,9.8,9.7,10.5
Florida,2010,12.0,12.2,12.3,12.0,11.7,11.4,11.5,11.7,11.9,11.9,12.0,12.0,11.9
Georgia,2010,10.4,10.5,10.5,10.3,10.1,10.0,9.9,10.0,10.0,9.9,10.1,10.2,10.2
Hawaii,2010,6.9,6.9,6.9,6.7,6.6,6.3,6.4,6.4,6.3,6.4,6.4,6.4,6.6
Idaho,2010,9.3,9.5,9.4,9.1,9.0,8.8,8.8,8.9,9.0,9.1,9.4,9.5,9.2
Illinois,2010,11.3,11.4,11.5,11.2,10.8,10.4,10.3,10.1,9.9,9.8,9.6,9.3,10.5
Indiana,2010,9.7,9.8,9.9,10.0,10.0,10.1,10.2,10.2,10.1,9.9,9.8,9.5,9.9
Iowa,2010,6.6,6.7,6.8,6.9,6.8,6.7,6.8,6.8,6.8,6.7,6.6,6.3,6.7
Kansas,2010,6.5,6.5,6.5,6.5,6.6,6.5,6.5,6.6,6.6,6.7,6.8,6.8,6.6
Kentucky,2010,10.7,10.9,10.7,10.6,10.4,10.0,9.9,10.0,10.1,10.0,10.2,10.3,10.3
Louisiana,2010,7.4,7.3,6.9,6.7,6.8,7.0,7.2,7.6,7.8,8.1,8.2,8.0,7.4
Maine,2010,8.2,8.3,8.2,8.1,8.0,8.0,8.1,8.0,7.7,7.4,7.3,7.3,7.9
Maryland,2010,7.5,7.7,7.7,7.5,7.3,7.1,7.1,7.3,7.5,7.4,7.4,7.4,7.4
Massachusetts,2010,9.5,9.5,9.3,9.2,9.2,9.0,9.0,8.8,8.4,8.1,8.2,8.2,8.9
Michigan,2010,14.3,14.1,14.1,14.0,13.6,13.2,13.1,13.1,13.0,12.8,12.4,11.7,13.3
Minnesota,2010,7.3,7.3,7.3,7.1,7.0,6.8,6.9,7.0,7.0,7.1,7.1,7.0,7.1
Mississippi,2010,11.0,11.5,11.6,11.5,11.4,11.0,10.8,10.0,9.8,9.7,9.9,10.1,10.7
Missouri,2010,9.4,9.4,9.5,9.5,9.3,9.1,9.2,9.3,9.3,9.4,9.4,9.5,9.4
Montana,2010,6.8,6.9,7.1,7.1,7.2,7.3,7.3,7.4,7.4,7.3,7.2,7.2,7.2
Nebraska,2010,4.7,4.8,5.0,5.0,4.9,4.9,4.7,4.6,4.6,4.7,4.6,4.4,4.7
Nevada,2010,13.0,13.2,13.4,13.7,14.0,14.2,14.3,14.4,14.4,14.2,14.3,14.5,14.0
New Hampshire,2010,7.0,7.1,7.0,6.7,6.4,5.9,5.8,5.7,5.5,5.4,5.4,5.5,6.1
New Jersey,2010,9.9,9.9,9.8,9.8,9.7,9.6,9.7,9.6,9.4,9.2,9.2,9.1,9.6
New Mexico,2010,8.5,8.7,8.8,8.7,8.4,8.2,8.2,8.3,8.2,8.4,8.5,8.5,8.5
New York,2010,8.8,8.8,8.6,8.4,8.3,8.2,8.2,8.3,8.3,8.3,8.3,8.2,8.4
North Carolina,2010,11.1,11.2,11.1,10.8,10.4,10.0,9.8,9.7,9.6,9.6,9.7,9.8,10.2
North Dakota,2010,4.2,4.1,4.0,3.8,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.8,3.8
Ohio,2010,10.8,10.9,11.0,10.9,10.7,10.5,10.3,10.1,10.0,9.9,9.8,9.6,10.4
Oklahoma,2010,6.7,6.8,6.6,6.6,6.7,6.8,6.9,7.0,6.9,6.9,6.9,6.8,6.8
Oregon,2010,10.7,10.5,10.6,10.6,10.6,10.5,10.6,10.6,10.6,10.5,10.6,10.6,10.6
Pennsylvania,2010,8.8,8.9,9.0,9.0,9.2,9.2,9.3,9.2,9.0,8.8,8.6,8.5,9.0
Puerto Rico,2010,15.9,16.0,16.2,17.2,16.9,16.3,16.1,15.6,16.0,15.7,15.8,15.7,16.1
Rhode Island,2010,12.7,12.7,12.6,12.5,12.3,12.0,11.9,11.8,11.5,11.4,11.6,11.5,12.0
South Carolina,2010,12.5,12.4,12.2,11.5,11.1,10.7,10.7,11.0,11.0,10.7,10.6,10.7,11.3
South Dakota,2010,4.8,4.8,4.8,4.7,4.6,4.4,4.4,4.5,4.4,4.5,4.5,4.6,4.6
Tennessee,2010,10.7,10.7,10.6,10.5,10.4,10.0,9.7,9.6,9.4,9.4,9.4,9.4,10.0
