State,Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Avg UI
Alabama,2012,7.8,7.6,7.3,7.2,7.4,7.8,8.3,8.5,8.3,8.1,7.5,7.1,7.7
Alaska,2012,7.2,7.1,7.0,6.9,7.0,7.3,7.7,7.8,7.5,7.1,6.8,6.6,7.2
Arizona,2012,8.7,8.7,8.6,8.2,8.2,8.2,8.3,8.3,8.2,8.1,7.8,7.9,8.3
Arkansas,2012,7.6,7.6,7.4,7.2,7.3,7.2,7.3,7.3,7.1,7.2,7.0,7.1,7.3
California,2012,10.9,10.9,11.0,10.9,10.8,10.7,10.7,10.6,10.2,10.1,9.8,9.8,10.5
Colorado,2012,7.8,7.8,7.8,7.9,8.1,8.2,8.3,8.2,8.0,7.9,7.7,7.6,7.9
Connecticut,2012,8.0,7.8,7.7,7.7,7.8,8.1,8.5,9.0,8.9,9.0,8.8,8.6,8.3
Delaware,2012,7.0,7.0,6.9,6.8,6.8,6.7,6.8,6.9,6.8,6.8,6.7,6.9,6.8
D.C.,2012,9.9,9.9,9.8,9.5,9.3,9.1,8.9,8.8,8.7,8.5,8.4,8.5,9.1
Florida,2012,9.6,9.4,9.0,8.7,8.6,8.6,8.8,8.8,8.7,8.5,8.1,8.0,8.7
Georgia,2012,9.2,9.1,9.0,8.9,8.9,9.0,9.3,9.2,9.0,8.7,8.5,8.6,9.0
Hawaii,2012,6.5,6.4,6.4,6.3,6.3,6.4,6.4,6.1,5.7,5.5,5.3,5.2,6.0
Idaho,2012,8.1,8.0,7.9,7.7,7.8,7.7,7.5,7.4,7.1,7.0,6.8,6.6,7.5
Illinois,2012,9.4,9.1,8.8,8.7,8.6,8.7,8.9,9.1,8.8,8.8,8.7,8.7,8.9
Indiana,2012,8.7,8.4,8.2,7.9,7.9,8.0,8.2,8.3,8.2,8.0,8.0,8.2,8.2
Iowa,2012,5.4,5.3,5.2,5.1,5.1,5.2,5.3,5.5,5.2,5.1,4.9,4.9,5.2
Kansas,2012,6.1,6.1,6.2,6.1,6.1,6.1,6.3,6.2,5.9,5.7,5.4,5.4,6.0
Kentucky,2012,8.8,8.7,8.6,8.3,8.2,8.2,8.3,8.5,8.4,8.4,8.2,8.1,8.4
Louisiana,2012,6.9,7.0,7.1,7.1,7.2,7.5,7.6,7.4,7.0,6.6,5.8,5.5,6.9
Maine,2012,7.0,7.1,7.2,7.2,7.4,7.5,7.6,7.6,7.6,7.4,7.2,7.3,7.3
Maryland,2012,6.5,6.5,6.6,6.7,6.8,6.9,7.0,7.1,6.9,6.7,6.6,6.6,6.7
Massachusetts,2012,6.9,6.9,6.5,6.3,6.0,6.0,6.1,6.3,6.5,6.6,6.6,6.7,6.5
Michigan,2012,9.0,8.8,8.5,8.3,8.5,8.6,9.0,9.4,9.3,9.1,8.9,8.9,8.9
Minnesota,2012,5.6,5.7,5.8,5.6,5.6,5.6,5.8,5.9,5.8,5.8,5.7,5.5,5.7
Mississippi,2012,9.9,9.5,9.0,8.7,8.7,8.8,9.1,9.1,9.2,8.9,8.5,8.6,9.0
Missouri,2012,7.5,7.4,7.4,7.3,7.3,7.1,7.2,7.2,6.9,6.9,6.7,6.7,7.1
Montana,2012,6.5,6.2,6.2,6.1,6.3,6.3,6.4,6.3,6.1,6.0,5.8,5.7,6.2
Nebraska,2012,4.0,4.0,4.0,3.9,3.9,3.8,4.0,4.0,3.9,3.8,3.7,3.7,3.9
Nevada,2012,12.7,12.3,12.0,11.7,11.6,11.6,12.0,12.1,11.8,11.5,10.8,10.2,11.7
New Hampshire,2012,5.2,5.2,5.2,5.0,5.0,5.1,5.4,5.7,5.7,5.7,5.6,5.7,5.4
New Jersey,2012,9.0,9.0,9.0,9.1,9.2,9.6,9.8,9.9,9.8,9.7,9.6,9.6,9.4
New Mexico,2012,7.0,7.2,7.2,6.9,6.7,6.5,6.6,6.5,6.4,6.3,6.2,6.4,6.7
New York,2012,8.3,8.5,8.5,8.5,8.6,8.9,9.1,9.1,8.9,8.7,8.3,8.2,8.6
North Carolina,2012,10.2,9.9,9.7,9.4,9.4,9.4,9.6,9.7,9.6,9.3,9.1,9.2,9.5
North Dakota,2012,3.2,3.1,3.0,3.0,3.0,2.9,3.0,3.0,3.0,3.1,3.1,3.2,3.1
Ohio,2012,7.7,7.6,7.5,7.4,7.3,7.2,7.2,7.2,7.0,6.9,6.8,6.7,7.2
Oklahoma,2012,6.1,6.0,5.4,5.0,4.8,4.7,4.9,5.1,5.2,5.3,5.2,5.1,5.2
Oregon,2012,8.8,8.8,8.6,8.5,8.4,8.5,8.7,8.9,8.7,8.6,8.4,8.4,8.6
Pennsylvania,2012,7.6,7.6,7.5,7.4,7.4,7.5,7.9,8.1,8.2,8.1,7.8,7.9,7.8
Puerto Rico,2012,15.1,15.0,15.0,14.8,14.2,13.8,13.7,13.5,13.6,13.8,13.8,14.0,14.2
Rhode Island,2012,10.9,11.0,11.1,11.2,11.0,10.9,10.8,10.7,10.5,10.4,10.4,10.2,10.8
South Carolina,2012,9.3,9.1,8.9,8.8,9.1,9.4,9.6,9.6,9.1,8.6,8.3,8.4,9.0
South Dakota,2012,4.2,4.3,4.3,4.3,4.3,4.3,4.4,4.5,4.4,4.5,4.4,4.4,4.4
Tennessee,2012,8.2,8.0,7.9,7.8,7.9,8.1,8.4,8.5,8.3,8.2,7.6,7.6,8.0
Texas,2012,7.3,7.1,7.0,6.9,6.9,7.0,7.2,7.1,6.8,6.6,6.2,6.1,6.9
Utah,2012,5.7,5.7,5.8,6.0,6.0,6.0,6.0,5.8,5.4,5.2,5.1,5.2,5.7
Vermont,2012,5.0,4.9,4.8,4.6,4.6,4.7,5.0,5.3,5.4,5.5,5.2,5.1,5.0
Virginia,2012,5.8,5.7,5.6,5.6,5.6,5.7,5.9,5.9,5.9,5.7,5.6,5.5,5.7
Washington,2012,8.3,8.2,8.3,8.1,8.3,8.3,8.5,8.6,8.5,8.2,7.8,7.6,8.2
West Virginia,2012,7.4,7.2,6.9,6.7,6.9,7.0,7.4,7.5,7.6,7.5,7.3,7.5,7.2
Wisconsin,2012,6.9,6.9,6.8,6.7,6.8,7.0,7.3,7.5,7.3,6.9,6.7,6.6,7.0
Wyoming,2012,5.5,5.4,5.3,5.3,5.2,5.4,5.6,5.7,5.4,5.2,5.1,4.9,5.3
