State,Year,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg UI
Alabama,2017,5.5,5.3,5.0,4.8,4.6,4.3,4.1,4.0,3.9,3.8,3.8,3.8,4.4
Alaska,2017,7.0,7.0,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.1
Arizona,2017,5.2,5.1,5.1,5.0,4.9,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.9
Arkansas,2017,3.7,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
California,2017,5.2,5.1,5.0,5.0,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5,4.8
Colorado,2017,2.8,2.7,2.6,2.6,2.6,2.7,2.8,2.9,3.0,3.0,3.0,3.0,2.8
Connecticut,2017,4.9,4.9,4.9,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.7
Delaware,2017,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.6
D.C.,2017,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.1,6.0,5.9,5.9,5.9,6.1
Florida,2017,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.0,3.9,3.9,3.9,3.9,4.2
Georgia,2017,5.3,5.2,5.0,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.8
Hawaii,2017,2.7,2.7,2.6,2.5,2.4,2.4,2.3,2.2,2.2,2.1,2.1,2.1,2.4
Idaho,2017,3.5,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,3.0,3.0,3.2
Illinois,2017,5.2,5.1,5.0,4.9,4.9,4.9,5.0,5.0,5.0,4.9,4.9,4.9,5.0
Indiana,2017,3.8,3.7,3.6,3.5,3.5,3.5,3.6,3.6,3.5,3.5,3.4,3.4,3.6
Iowa,2017,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.0,3.0,2.9,2.9,2.9,3.1
Kansas,2017,3.9,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.6
Kentucky,2017,5.2,5.1,5.2,5.2,5.1,5.1,5.0,4.9,4.7,4.6,4.5,4.5,4.9
Louisiana,2017,5.8,5.7,5.6,5.4,5.3,5.2,5.0,4.9,4.8,4.7,4.7,4.7,5.2
Maine,2017,3.4,3.3,3.3,3.3,3.4,3.5,3.5,3.4,3.3,3.2,3.1,3.1,3.3
Maryland,2017,4.3,4.3,4.2,4.2,4.1,4.1,4.1,4.0,4.0,4.0,4.1,4.1,4.1
Massachusetts,2017,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.6,3.5,3.5,3.5,3.7
Michigan,2017,5.0,4.8,4.6,4.4,4.4,4.4,4.5,4.6,4.7,4.7,4.7,4.7,4.6
Minnesota,2017,3.8,3.7,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.5
Mississippi,2017,5.4,5.4,5.3,5.3,5.3,5.2,5.1,5.0,4.9,4.8,4.8,4.8,5.1
Missouri,2017,4.1,4.0,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.7,3.7
Montana,2017,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.1,4.0
Nebraska,2017,3.1,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Nevada,2017,5.3,5.2,5.2,5.1,5.1,5.1,5.0,4.9,4.9,4.9,4.9,4.9,5.0
New Hampshire,2017,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.7
New Jersey,2017,4.6,4.6,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.6
New Mexico,2017,6.5,6.4,6.3,6.3,6.2,6.1,6.1,6.0,6.0,6.0,6.0,6.0,6.2
New York,2017,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
North Carolina,2017,4.9,4.8,4.7,4.6,4.5,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.6
North Dakota,2017,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6
Ohio,2017,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.0,5.0,4.9,4.9,4.9,5.0
Oklahoma,2017,4.6,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.1,4.1,4.3
Oregon,2017,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.1,4.1
